member_ref,zip5,birth_date,gender,plan_tier
M0056,02139,1966-09-01,nonbinary,premium
M0057,02140,1967-04-12,female,basic
M0058,10001,1968-11-23,male,basic
M0059,94110,1969-06-06,nonbinary,basic
M0060,60601,1970-01-17,female,premium
M0061,30301,1971-08-28,male,standard
M0062,73301,1972-03-11,nonbinary,premium
M0063,98101,1973-10-22,female,premium
M0064,02139,1974-05-05,male,basic
M0065,02140,1975-12-16,nonbinary,premium
M0066,10001,1976-07-27,female,basic
M0067,94110,1977-02-10,male,standard
M0068,60601,1978-09-21,nonbinary,standard
M0069,30301,1979-04-04,female,premium
M0070,73301,1980-11-15,male,basic
M0071,98101,1981-06-26,nonbinary,premium
M0072,02139,1982-01-09,female,standard
M0073,02140,1983-08-20,male,standard
M0074,10001,1984-03-03,nonbinary,standard
M0075,94110,1985-10-14,female,basic
M0076,60601,1986-05-25,male,standard
M0077,30301,1987-12-08,nonbinary,premium
M0078,73301,1988-07-19,female,standard
M0079,98101,1989-02-02,male,standard
M0080,02139,1990-09-13,nonbinary,standard
M0081,02140,1991-04-24,female,premium
M0082,10001,1992-11-07,male,standard
M0083,94110,1993-06-18,nonbinary,basic
M0084,60601,1994-01-01,female,basic
M0085,30301,1995-08-12,male,basic
M0086,73301,1996-03-23,nonbinary,basic
M0087,98101,1997-10-06,female,basic
M0088,02139,1998-05-17,male,basic
M0089,02140,1999-12-28,nonbinary,premium
M0090,10001,1955-07-11,female,basic
M0091,94110,1956-02-22,male,standard
M0092,60601,1957-09-05,nonbinary,standard
M0093,30301,1958-04-16,female,basic
M0094,73301,1959-11-27,male,basic
M0095,98101,1960-06-10,nonbinary,basic
M0096,02139,1961-01-21,female,standard
M0097,02140,1962-08-04,male,premium
M0098,10001,1963-03-15,nonbinary,standard
M0099,94110,1964-10-26,female,premium
M0100,60601,1965-05-09,male,premium
M0101,30301,1966-12-20,nonbinary,premium
M0102,73301,1967-07-03,female,premium
M0103,98101,1968-02-14,male,premium
M0104,02139,1969-09-25,nonbinary,premium
M0105,02140,1970-04-08,female,premium
M0106,10001,1971-11-19,male,premium
M0107,94110,1972-06-02,nonbinary,basic
M0108,60601,1973-01-13,female,standard
M0109,30301,1974-08-24,male,premium
M0110,73301,1975-03-07,nonbinary,basic
M0111,98101,1976-10-18,female,basic
M0112,02139,1977-05-01,male,standard
M0113,02140,1978-12-12,nonbinary,basic
M0114,10001,1979-07-23,female,basic
M0115,94110,1980-02-06,male,standard
M0116,60601,1981-09-17,nonbinary,basic
M0117,30301,1982-04-28,female,basic
M0118,73301,1983-11-11,male,premium
M0119,98101,1984-06-22,nonbinary,premium
M0120,02139,1985-01-05,female,basic
M0121,02140,1986-08-16,male,standard
M0122,10001,1987-03-27,nonbinary,premium
M0123,94110,1988-10-10,female,standard
M0124,60601,1989-05-21,male,standard
M0125,30301,1990-12-04,nonbinary,basic
M0126,73301,1991-07-15,female,basic
M0127,98101,1992-02-26,male,premium
M0128,02139,1993-09-09,nonbinary,premium
M0129,02140,1994-04-20,female,basic
M0130,10001,1995-11-03,male,standard
M0131,94110,1996-06-14,nonbinary,premium
M0132,60601,1997-01-25,female,premium
M0133,30301,1998-08-08,male,standard
M0134,73301,1999-03-19,nonbinary,premium
M0135,98101,1955-10-02,female,basic
M0136,02139,1956-05-13,male,basic
M0137,02140,1957-12-24,nonbinary,basic
M0138,10001,1958-07-07,female,premium
M0139,94110,1959-02-18,male,premium
M0140,60601,1960-09-01,nonbinary,standard
M0141,30301,1961-04-12,female,standard
M0142,73301,1962-11-23,male,basic
M0143,98101,1963-06-06,nonbinary,premium
M0144,02139,1964-01-17,female,premium
M0145,02140,1965-08-28,male,standard
M0146,10001,1966-03-11,nonbinary,premium
M0147,94110,1967-10-22,female,premium
M0148,60601,1968-05-05,male,premium
M0149,30301,1969-12-16,nonbinary,premium
M0150,73301,1970-07-27,female,basic
M0151,98101,1971-02-10,male,premium
M0152,02139,1972-09-21,nonbinary,premium
M0153,02140,1973-04-04,female,basic
M0154,10001,1974-11-15,male,premium
M0155,94110,1975-06-26,nonbinary,standard
M0156,60601,1976-01-09,female,standard
M0157,30301,1977-08-20,male,basic
M0158,73301,1978-03-03,nonbinary,standard
M0159,98101,1979-10-14,female,basic
M0160,02139,1980-05-25,male,basic
M0161,02140,1981-12-08,nonbinary,standard
M0162,10001,1982-07-19,female,premium
M0163,94110,1983-02-02,male,standard
M0164,60601,1984-09-13,nonbinary,basic
M0165,30301,1985-04-24,female,premium
M0166,73301,1986-11-07,male,standard
M0167,98101,1987-06-18,nonbinary,standard
M0168,02139,1988-01-01,female,basic
M0169,02140,1989-08-12,male,standard
M0170,10001,1990-03-23,nonbinary,premium
M0171,94110,1991-10-06,female,basic
M0172,60601,1992-05-17,male,standard
M0173,30301,1993-12-28,nonbinary,standard
M0174,73301,1994-07-11,female,basic
M0175,98101,1995-02-22,male,basic
M0176,02139,1996-09-05,nonbinary,basic
M0177,02140,1997-04-16,female,standard
M0178,10001,1998-11-27,male,premium
M0179,94110,1999-06-10,nonbinary,premium
M0180,60601,1955-01-21,female,standard
M0181,30301,1956-08-04,male,premium
M0182,73301,1957-03-15,nonbinary,basic
M0183,98101,1958-10-26,female,basic
M0184,02139,1959-05-09,male,standard
M0185,02140,1960-12-20,nonbinary,standard
M0186,10001,1961-07-03,female,basic
M0187,94110,1962-02-14,male,premium
M0188,60601,1963-09-25,nonbinary,standard
M0189,30301,1964-04-08,female,premium
M0190,73301,1965-11-19,male,standard
M0191,98101,1966-06-02,nonbinary,standard
M0192,02139,1967-01-13,female,premium
M0193,02140,1968-08-24,male,standard
M0194,10001,1969-03-07,nonbinary,basic
M0195,94110,1970-10-18,female,premium
M0196,60601,1971-05-01,male,basic
M0197,30301,1972-12-12,nonbinary,basic
M0198,73301,1973-07-23,female,premium
M0199,98101,1974-02-06,male,premium
M0200,02139,1975-09-17,nonbinary,basic
M0201,02140,1976-04-28,female,standard
M0202,10001,1977-11-11,male,standard
M0203,94110,1978-06-22,nonbinary,premium
M0204,60601,1979-01-05,female,standard
M0205,30301,1980-08-16,male,basic
M0206,73301,1981-03-27,nonbinary,basic
M0207,98101,1982-10-10,female,basic
M0208,02139,1983-05-21,male,premium
M0209,02140,1984-12-04,nonbinary,basic
M0210,10001,1985-07-15,female,basic
M0211,94110,1986-02-26,male,premium
M0212,60601,1987-09-09,nonbinary,standard
M0213,30301,1988-04-20,female,basic
M0214,73301,1989-11-03,male,standard
M0215,98101,1990-06-14,nonbinary,standard
M0216,02139,1991-01-25,female,premium
M0217,02140,1992-08-08,male,standard
M0218,10001,1993-03-19,nonbinary,standard
M0219,94110,1994-10-02,female,premium
M0220,60601,1995-05-13,male,basic
M0221,30301,1996-12-24,nonbinary,basic
M0222,73301,1997-07-07,female,premium
M0223,98101,1998-02-18,male,basic
M0224,02139,1999-09-01,nonbinary,basic
M0225,02140,1955-04-12,female,standard
M0226,10001,1956-11-23,male,premium
M0227,94110,1957-06-06,nonbinary,basic
M0228,60601,1958-01-17,female,premium
M0229,30301,1959-08-28,male,premium
M0230,73301,1960-03-11,nonbinary,premium
M0231,98101,1961-10-22,female,standard
M0232,02139,1962-05-05,male,basic
M0233,02140,1963-12-16,nonbinary,standard
M0234,10001,1964-07-27,female,premium
M0235,94110,1965-02-10,male,premium
M0236,60601,1966-09-21,nonbinary,premium
M0237,30301,1967-04-04,female,basic
M0238,73301,1968-11-15,male,standard
M0239,98101,1969-06-26,nonbinary,standard
